date	username	to	replies	retweets	favorites	text	geo	mentions	hashtags	id	permalink	
17.5.2020 14.07	JoeBiden		1727	8685	40033	Today, on the International Day Against Homophobia, Transphobia and Biphobia, I stand with LGBTQ+ people and their allies to celebrate and champion the inherent dignity and worth of all persons—regardless of sexual orientation or gender identity. #IDAHOTB			#IDAHOTB	1,26E+18	https://twitter.com/JoeBiden/status/1262021805180506117	
17.5.2020 3.45	JoeBiden	BarackObama	1375	13032	79763	Congratulations to the Class of 2020 and to all those who were a part of the journey. I can't wait to see what you all accomplish. #GraduateTogether			#GraduateTogether	1,26E+18	https://twitter.com/JoeBiden/status/1261865381075058689	
17.5.2020 0.00	JoeBiden		5418	10828	71668	From this moment of crisis, we have the opportunity to not just rebuild our economy — but transform it.				1,26E+18	https://twitter.com/JoeBiden/status/1261808650454093824	
16.5.2020 23.05	JoeBiden		3993	11635	53598	Every day Donald Trump proves how wholly unfit he is to lead our country.				1,26E+18	https://twitter.com/JoeBiden/status/1261794809565466624	
16.5.2020 20.47	JoeBiden		1893	3934	15887	We need a president who puts hardworking Americans ahead of the wealthy and well-connected.				1,26E+18	https://twitter.com/JoeBiden/status/1261760080422322176	
16.5.2020 18.45	JoeBiden		2459	5184	19049	Defeating Donald Trump is going to take everything we've got. His campaign has been preparing for the last four years and has millions in the bank. I know times are tough, but if you can, please pitch in today to help us catch up: https://joe.link/2X1lUGP				1,26E+18	https://twitter.com/JoeBiden/status/1261729378171412481	
16.5.2020 17.12	JoeBiden		955	4432	15711	On this Armed Forces Day, @DrBiden and I want to express our gratitude and support for the men and women in uniform — serving and defending our country around the world. Thank you for your selfless service and sacrifice. You continue to make us proud.		@DrBiden		1,26E+18	https://twitter.com/JoeBiden/status/1261705973988839424	
16.5.2020 15.06	JoeBiden	nytimes	3070	22867	87773	It seems the way to get fired by President Trump is not to commit wrongdoing, but to investigate it.				1,26E+18	https://twitter.com/JoeBiden/status/1261674293458604038	
16.5.2020 14.30	JoeBiden		12512	21844	160688	Science over fiction.				1,26E+18	https://twitter.com/JoeBiden/status/1261665206184312838	
16.5.2020 0.15	JoeBiden		1925	5121	19098	The fact is Donald Trump wasted an awful lot of time, and lives were lost as a consequence.				1,26E+18	https://twitter.com/JoeBiden/status/1261450037739106304	
15.5.2020 23.23	JoeBiden	kylegriffin1	5922	22354	74564	I want Donald Trump to look the American people in the eye and explain why their hard-earned dollars are bailing out his wealthy donors.				1,26E+18	https://twitter.com/JoeBiden/status/1261436978232356864	
15.5.2020 22.00	JoeBiden		1226	1833	6153	We're building a campaign that will defeat Donald Trump and transform this nation — but we need your help to do it. Join us this Sunday for a Grassroots Strategy Summit, where we'll lay out our path to victory and how you can get involved: https://joe.link/3dOLPrN				1,26E+18	https://twitter.com/JoeBiden/status/1261416063784402946	
15.5.2020 21.28	JoeBiden		338	821	2732	Unions like @GoIUPAT are supporting their workers and communities during this pandemic. To build a stronger, more inclusive, and more resilient middle class after this crisis, we must encourage unionization. That starts with enacting the PRO Act.		@GoIUPAT		1,26E+18	https://twitter.com/JoeBiden/status/1261408054093860865	
15.5.2020 21.15	JoeBiden		1443	1304	5142	Los fracasos internacionales de Trump han abierto el camino para que Cuba se una al Consejo de Derechos Humanos de la ONU. Esto traiciona a los presos políticos en Cuba y mina aún más la diplomacia de los EE.UU. Como presidente, defenderé los derechos humanos del pueblo cubano.				1,26E+18	https://twitter.com/JoeBiden/status/1261404739109113856	
15.5.2020 21.12	JoeBiden		5977	6310	31555	Trump's international failures have cleared a path for Cuba to join the UN Human Rights Council. This would betray Cuba's political prisoners and further undermine U.S. diplomacy. As President, I will lead by empowering the Cuban people and defending human rights.				1,26E+18	https://twitter.com/JoeBiden/status/1261403984100818944	
